gateid,treatment,site,completed_w2,age,white,black,asian,grade,children,hhincome,healthproblem,self_employed,worked_for_relatives_friends_se,salaried_worker,benefits,philadelphia,pittsburgh,minneapolis,duluth,maine,nonenglish,married,hhincome_p25,hhincome_p25_49,hhincome_p75_99,hhincome_p100,employer_healthins,unemployed,female,not_born_us,badcredit,agesqr,latino,other,hhincome_w2,autonomy_std,risk_tolerance_std
ME1357,0,5,1,42.0,1.0,0.0,0.0,14,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1764.0,0.0,0.0,10000.0,-4.686470953641612,2.78517588481892
ME1358,1,5,1,63.0,1.0,0.0,0.0,14,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3969.0,0.0,0.0,42000.0,-4.686470953641612,1.78517588481892
ME1359,0,5,1,50.0,1.0,0.0,0.0,14,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2500.0,0.0,0.0,23000.0,-4.686470953641612,1.78517588481892
ME1390,0,5,1,47.0,1.0,0.0,0.0,11,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2209.0,0.0,0.0,12000.0,-4.686470953641612,2.78517588481892
ME1391,0,5,1,53.0,1.0,0.0,0.0,12,1.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2809.0,0.0,0.0,27000.0,-4.686470953641612,0.7851758848189201
ME1398,0,5,1,63.0,1.0,0.0,0.0,12,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3969.0,0.0,0.0,42742.0,-4.686470953641612,4.78517588481892
ME1401,0,5,1,53.0,1.0,0.0,0.0,18,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2809.0,0.0,0.0,,-4.686470953641612,6.78517588481892
ME1402,0,5,1,62.0,1.0,0.0,0.0,12,0.0,5.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,3844.0,0.0,0.0,38000.0,-4.686470953641612,3.78517588481892
ME1403,0,5,1,54.0,1.0,0.0,0.0,16,0.0,2.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2916.0,0.0,0.0,30000.0,-4.686470953641612,4.78517588481892
ME1404,0,5,1,66.0,0.0,1.0,0.0,14,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4356.0,0.0,0.0,8000.0,-4.686470953641612,3.78517588481892
ME1405,0,5,1,35.0,1.0,0.0,0.0,18,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1225.0,0.0,0.0,27000.0,-4.686470953641612,-0.2148241151810799
ME1436,0,5,1,32.0,1.0,0.0,0.0,10,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1024.0,0.0,0.0,60000.0,-4.686470953641612,3.78517588481892
ME1437,0,5,1,55.0,1.0,0.0,0.0,12,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3025.0,0.0,0.0,40000.0,-4.686470953641612,6.78517588481892
ME1438,1,5,1,32.0,1.0,0.0,0.0,18,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1024.0,0.0,0.0,50000.0,-4.686470953641612,3.78517588481892
ME1456,1,5,1,38.0,1.0,0.0,0.0,14,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1444.0,0.0,0.0,38000.0,-4.686470953641612,2.78517588481892
ME1457,0,5,1,62.0,1.0,0.0,0.0,18,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3844.0,0.0,0.0,22000.0,-4.686470953641612,3.78517588481892
ME1464,0,5,1,63.0,1.0,0.0,0.0,16,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3969.0,0.0,1.0,22000.0,-4.686470953641612,5.78517588481892
ME1465,1,5,0,59.0,1.0,0.0,0.0,13,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3481.0,0.0,0.0,,-5.686470953641612,3.78517588481892
ME1490,0,5,1,47.0,1.0,0.0,0.0,14,1.0,7.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2209.0,0.0,0.0,85000.0,-4.686470953641612,3.78517588481892
ME1493,1,5,1,41.0,1.0,0.0,0.0,13,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1681.0,0.0,0.0,20000.0,-5.686470953641612,0.7851758848189201
ME1494,0,5,1,53.0,1.0,0.0,0.0,12,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2809.0,0.0,0.0,12500.0,-4.686470953641612,0.7851758848189201
ME1495,1,5,0,58.0,1.0,0.0,0.0,12,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3364.0,0.0,0.0,,-4.686470953641612,3.78517588481892
ME1514,0,5,0,43.0,1.0,0.0,0.0,12,1.0,7.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1849.0,0.0,0.0,,-4.686470953641612,0.7851758848189201
ME1515,0,5,0,51.0,1.0,0.0,0.0,17,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2601.0,0.0,0.0,,-4.686470953641612,6.78517588481892
ME1516,1,5,1,49.0,1.0,0.0,0.0,14,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2401.0,0.0,0.0,35000.0,-4.686470953641612,6.78517588481892
ME1517,1,5,0,43.0,1.0,0.0,0.0,13,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1849.0,0.0,0.0,,-4.686470953641612,3.78517588481892
ME1518,1,5,1,31.0,1.0,0.0,0.0,16,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,961.0,0.0,0.0,52500.0,-4.686470953641612,5.78517588481892
ME1519,1,5,1,32.0,1.0,0.0,0.0,18,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1024.0,0.0,0.0,19448.0,-4.686470953641612,3.78517588481892
ME1520,0,5,1,23.0,1.0,0.0,0.0,14,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,529.0,0.0,0.0,22.0,-4.686470953641612,4.78517588481892
ME1548,1,5,1,43.0,0.0,0.0,0.0,12,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1849.0,0.0,1.0,20000.0,-4.686470953641612,3.78517588481892
ME1549,0,5,1,54.0,1.0,0.0,0.0,12,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2916.0,0.0,0.0,27500.0,-4.686470953641612,1.78517588481892
ME1550,0,5,0,27.0,1.0,0.0,0.0,14,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,729.0,0.0,0.0,,-4.686470953641612,6.78517588481892
ME1551,1,5,0,46.0,0.0,0.0,0.0,12,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2116.0,1.0,0.0,,-4.686470953641612,4.78517588481892
ME1552,0,5,1,43.0,1.0,0.0,0.0,15,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1849.0,0.0,0.0,9080.0,-4.686470953641612,6.78517588481892
ME1553,0,5,0,44.0,1.0,0.0,0.0,14,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1936.0,0.0,0.0,,-4.686470953641612,3.78517588481892
ME1554,1,5,1,40.0,1.0,0.0,0.0,14,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1600.0,0.0,0.0,14000.0,-4.686470953641612,4.78517588481892
ME1555,0,5,1,41.0,1.0,0.0,0.0,16,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1681.0,0.0,0.0,60000.0,-5.686470953641612,1.78517588481892
ME1556,0,5,1,57.0,1.0,0.0,0.0,16,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3249.0,0.0,0.0,110000.0,-4.686470953641612,0.7851758848189201
ME1557,0,5,1,63.0,1.0,0.0,0.0,16,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3969.0,0.0,0.0,,-4.686470953641612,5.78517588481892
ME1576,1,5,0,41.0,1.0,0.0,0.0,15,0.0,4.0,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1681.0,0.0,0.0,,-4.686470953641612,2.78517588481892
ME1577,0,5,1,30.0,1.0,0.0,0.0,16,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,65000.0,-4.686470953641612,2.78517588481892
ME1578,1,5,1,48.0,1.0,0.0,0.0,11,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2304.0,0.0,0.0,30000.0,-4.686470953641612,0.7851758848189201
ME1579,0,5,1,24.0,1.0,0.0,0.0,14,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,576.0,0.0,0.0,27000.0,-4.686470953641612,3.78517588481892
ME1580,0,5,1,50.0,1.0,0.0,0.0,12,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2500.0,0.0,0.0,119000.0,-4.686470953641612,4.78517588481892
ME1581,0,5,1,51.0,1.0,0.0,0.0,18,0.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2601.0,0.0,0.0,95000.0,-4.686470953641612,0.7851758848189201
ME1582,1,5,1,48.0,1.0,0.0,0.0,15,1.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2304.0,0.0,0.0,20000.0,-4.686470953641612,1.78517588481892
ME1583,1,5,1,63.0,1.0,0.0,0.0,17,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3969.0,0.0,0.0,17500.0,-4.686470953641612,2.78517588481892
ME1593,0,5,1,37.0,1.0,0.0,0.0,18,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1369.0,0.0,0.0,80000.0,-4.686470953641612,4.78517588481892
ME1594,0,5,1,28.0,1.0,0.0,0.0,16,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,784.0,0.0,0.0,82500.0,-4.686470953641612,4.78517588481892
ME1595,1,5,1,47.0,1.0,0.0,0.0,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2209.0,0.0,0.0,17500.0,-4.686470953641612,4.78517588481892
ME1596,1,5,1,40.0,1.0,0.0,0.0,14,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1600.0,0.0,0.0,26000.0,-5.686470953641612,3.78517588481892
ME1597,1,5,1,40.0,1.0,0.0,0.0,12,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1600.0,0.0,0.0,50000.0,-4.686470953641612,2.78517588481892
